L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
3e+40	1.5	1	14.7	0	0	0	0	0	0	3.63e+39	0	1.31e+39	0	0	0	0	4.28e+37	0	0	0	0	1.74e+39	0	0	0	6.66e+39	0	0	0	0	0	0	0	0	1.05e+39	0	0	0	0	4.82e+38	4.42e+38	0	0	0	3.66e+38	0	0	0	0	0	0	0	0	0	0	
3e+40	4.0	3	14.7	0	0	0	0	0	0	4.97e+38	0	5.29e+38	5.16e+39	0	0	0	5.01e+36	0	1.63e+39	0	0	4.47e+39	0	0	0	1.71e+40	0	0	0	0	0	0	1.39e+39	0	2.37e+39	0	0	4.35e+38	0	8.29e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	1.5	3	14.2	0	0	0	5.80e+40	3.22e+40	0	1.69e+40	0	0	0	0	1.93e+40	0	2.08e+40	0	0	0	0	0	0	0	0	5.55e+37	0	0	0	3.17e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	4.0	10	14.7	0	0	0	0	0	0	4.39e+38	0	0	6.39e+39	4.77e+38	0	0	2.42e+36	0	0	0	0	4.54e+39	0	0	0	1.55e+40	0	4.25e+39	0	0	0	0	2.06e+39	0	1.98e+39	0	0	0	0	7.35e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	1.5	3	13.7	1.55e+42	0	0	0	0	0	0	9.15e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	2.5	3	13.9	0	0	0	2.55e+41	9.90e+40	0	2.30e+40	0	0	0	0	5.51e+40	0	7.78e+40	0	0	0	0	0	0	0	0	8.81e+37	0	0	0	7.88e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	4.0	3	14.4	0	0	0	0	0	0	6.18e+39	0	3.49e+39	2.92e+39	1.10e+39	0	0	5.60e+37	0	0	0	0	1.08e+40	0	0	0	5.38e+40	0	0	0	0	0	0	0	0	7.95e+39	0	0	0	0	1.58e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	2.5	1	13.7	4.18e+41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.17e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	1.5	10	14.7	0	0	0	0	0	0	2.90e+39	0	1.16e+39	1.95e+39	5.53e+38	0	0	1.71e+37	0	0	0	0	4.45e+39	0	0	0	1.43e+40	0	0	0	0	0	3.11e+38	0	0	2.77e+39	0	0	0	0	5.61e+38	0	0	0	0	3.44e+38	0	0	0	0	0	0	0	0	0	0	
1e+42	1.5	3	13.9	3.19e+41	0	0	4.45e+40	8.88e+40	0	0	8.41e+36	0	0	0	0	1.45e+40	0	0	0	0	0	0	8.37e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	3	14.7	0	0	0	0	0	0	1.34e+39	0	8.81e+38	1.93e+39	3.38e+38	0	0	1.34e+37	0	0	0	0	4.10e+39	0	0	0	1.63e+40	0	0	0	0	0	0	3.96e+38	0	2.42e+39	0	0	3.66e+38	0	6.91e+38	0	0	0	0	3.34e+38	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	10	14.7	0	0	0	0	0	0	1.07e+39	0	5.31e+38	5.23e+39	5.38e+38	0	0	4.86e+36	0	0	0	0	4.39e+39	0	0	0	1.44e+40	1.61e+39	0	0	0	0	0	1.06e+39	0	2.28e+39	0	0	3.41e+38	0	6.44e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	4.0	3	13.9	0	0	7.41e+40	1.05e+41	1.42e+40	0	4.05e+41	0	3.75e+40	0	0	3.01e+40	0	1.25e+40	0	0	0	0	0	0	0	0	0	0	0	0	1.63e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	2.5	1	13.9	0	0	0	2.20e+40	5.87e+40	0	0	0	0	0	0	0	1.34e+40	4.87e+40	0	0	0	0	0	0	0	3.65e+39	9.57e+36	0	0	0	6.03e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	1.5	1	13.9	0	0	0	0	6.76e+39	0	0	0	0	0	0	0	0	1.13e+41	0	0	0	0	0	0	0	0	0	0	0	0	3.61e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	2.5	1	14.4	0	0	1.47e+39	1.34e+39	0	0	2.05e+40	0	5.60e+39	0	0	0	0	1.56e+38	0	0	0	0	3.38e+39	0	0	0	1.08e+40	0	0	0	0	0	0	0	0	3.38e+39	0	0	0	0	1.03e+39	7.83e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	1.5	10	14.4	0	0	1.49e+39	1.46e+39	5.07e+38	0	3.43e+40	0	5.75e+39	0	0	0	0	2.53e+38	0	0	0	0	8.76e+39	0	0	0	2.89e+40	0	0	0	0	0	0	0	1.07e+39	9.48e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	4.0	10	13.7	7.80e+40	0	1.86e+41	1.02e+42	2.70e+41	0	7.78e+41	0	5.39e+40	0	0	1.61e+41	0	0	0	0	0	0	0	1.11e+41	0	0	0	0	0	3.59e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	4.0	10	14.2	0	0	4.47e+39	3.04e+39	2.08e+38	0	4.81e+40	0	1.37e+40	0	5.61e+39	0	0	2.03e+38	0	0	0	0	2.87e+40	0	0	0	1.44e+41	0	0	0	0	0	0	0	3.27e+39	3.19e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	2.5	3	14.2	0	0	1.51e+40	1.58e+40	1.18e+39	0	1.41e+41	0	1.66e+40	0	0	3.54e+39	0	2.77e+39	9.30e+39	0	0	0	0	0	0	0	0	0	0	2.65e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	2.5	3	14.4	0	0	0	0	0	0	1.37e+40	0	4.30e+39	1.14e+39	0	0	0	1.74e+38	0	0	0	0	7.67e+39	0	0	0	4.33e+40	0	0	0	0	0	0	0	0	7.48e+39	0	0	0	0	1.22e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	1.5	10	14.2	0	0	1.41e+40	1.58e+40	7.45e+39	0	1.98e+41	0	1.69e+40	0	0	3.36e+39	0	3.26e+39	7.31e+39	0	0	0	1.00e+39	0	0	0	0	0	0	3.29e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	4.0	1	14.4	0	0	0	0	0	0	4.44e+39	0	2.16e+39	6.94e+38	0	0	0	4.49e+37	0	0	0	0	6.96e+39	0	0	0	4.40e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10e+39	7.65e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	2.5	10	14.2	0	0	9.36e+39	9.53e+39	2.47e+39	0	1.13e+41	7.26e+40	1.74e+40	0	0	0	0	8.17e+38	2.97e+40	0	0	0	1.98e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	4.0	1	14.2	0	0	1.03e+40	1.01e+40	0	0	6.67e+40	0	1.29e+40	0	0	0	0	6.59e+38	1.51e+40	0	3.04e+39	0	0	0	0	0	0	0	0	1.30e+40	0	0	0	0	1.93e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	4.0	10	14.4	0	0	0	0	0	0	6.87e+39	0	3.07e+39	7.51e+39	2.48e+39	0	0	2.15e+37	0	0	0	0	1.36e+40	0	0	0	5.21e+40	0	0	0	0	0	0	2.01e+39	0	9.67e+39	2.38e+39	0	0	0	1.66e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	4.0	3	14.2	0	0	6.10e+39	5.58e+39	0	2.62e+40	4.86e+40	1.14e+41	1.17e+40	0	0	0	0	6.40e+38	0	0	0	0	1.68e+40	0	0	0	0	0	0	0	0	0	0	0	2.96e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	4.0	1	13.7	2.90e+41	0	0	0	1.67e+41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61e+41	0	7.63e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	1.5	1	14.2	0	0	0	9.31e+39	1.35e+40	0	1.01e+39	8.51e+36	0	0	0	8.78e+39	0	9.77e+39	0	0	0	0	0	0	0	1.54e+39	0	0	0	0	2.38e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	1.5	3	14.7	0	0	0	0	0	0	3.14e+39	0	1.10e+39	3.80e+38	0	0	0	4.74e+37	0	0	0	0	3.21e+39	0	0	0	1.38e+40	0	0	0	0	0	0	0	0	2.22e+39	0	0	0	0	5.28e+38	2.90e+38	0	0	0	3.61e+38	0	0	0	0	0	0	0	0	0	0	
1e+42	4.0	10	13.9	0	0	8.91e+40	9.15e+40	2.05e+40	0	4.18e+41	3.54e+40	5.63e+40	0	0	0	0	4.70e+39	1.71e+41	0	0	0	2.97e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
