L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
1e+41	2.5	10	14.4	0	0	0	0	0	0	1.44e+40	0	4.49e+39	2.27e+39	2.00e+39	0	0	6.34e+37	0	0	0	0	1.20e+40	0	0	0	4.79e+40	0	0	0	0	0	0	0	0	9.92e+39	0	0	0	0	1.37e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	1	14.7	0	0	0	0	0	0	8.99e+38	0	7.40e+38	3.16e+38	0	0	0	1.03e+37	0	0	0	0	2.59e+39	0	0	0	1.32e+40	0	0	0	0	0	0	0	0	1.12e+39	0	0	2.28e+38	0	5.85e+38	4.37e+38	0	0	0	3.19e+38	0	0	0	0	0	0	0	0	0	0	
1e+42	4.0	1	13.9	0	0	0	1.00e+41	2.99e+40	0	4.28e+40	0	0	0	0	4.20e+40	0	8.27e+39	0	0	0	4.13e+39	0	0	0	4.35e+39	1.00e+38	0	0	0	5.70e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	2.5	10	13.9	0	0	8.10e+40	1.19e+41	4.03e+40	0	5.70e+41	0	4.05e+40	0	0	2.90e+40	0	1.36e+40	0	0	0	0	0	0	0	0	0	0	0	0	1.23e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	2.5	3	13.7	1.24e+42	2.20e+41	0	4.94e+40	1.27e+41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+41	2.5	1	14.2	0	0	3.54e+39	9.87e+39	2.35e+39	0	6.96e+40	0	6.94e+39	0	0	1.09e+40	0	1.98e+39	0	0	0	1.09e+39	0	0	0	1.67e+39	0	0	0	3.12e+37	1.36e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	1.5	1	14.4	0	0	1.05e+39	9.68e+38	0	0	2.89e+40	0	3.24e+39	0	0	3.21e+39	0	6.52e+38	0	0	0	0	0	0	0	6.96e+38	0	0	0	5.18e+37	3.56e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87e+38	0	0	0	0	0	0	0	0	0	0	
3e+42	2.5	10	13.7	4.55e+41	0	0	1.16e+42	4.82e+41	0	6.50e+40	0	0	0	0	1.74e+41	0	0	0	0	0	0	0	2.08e+41	0	0	3.01e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+42	1.5	10	13.9	1.27e+41	0	0	3.46e+41	2.00e+41	0	3.58e+40	2.64e+37	0	0	0	5.93e+40	0	0	0	0	0	0	0	8.17e+40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	1.5	10	13.7	2.08e+42	2.33e+41	0	6.37e+40	1.15e+41	0	0	2.32e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+42	1.5	1	13.7	3.70e+41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	4.0	1	14.7	0	0	0	0	0	0	3.95e+38	0	6.15e+38	2.00e+39	0	0	0	4.57e+36	0	0	0	0	3.58e+39	0	0	0	1.63e+40	0	0	0	0	0	0	4.42e+38	0	1.91e+39	0	0	3.68e+38	0	8.17e+38	4.33e+38	0	0	0	2.99e+38	0	0	0	0	0	0	0	0	0	0	
3e+42	4.0	3	13.7	3.34e+41	0	0	7.78e+41	2.70e+41	0	3.95e+40	0	0	0	0	1.50e+41	0	0	0	0	0	0	0	2.03e+41	0	0	3.02e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	1.5	3	14.4	0	0	2.53e+39	2.59e+39	0	0	4.76e+40	3.41e+39	6.71e+39	0	0	7.98e+38	0	9.26e+38	5.01e+39	0	0	0	1.27e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
