L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
3e+39	4.0	3	15.2	0	0	0	0	0	0	0	0	0	7.31e+35	0	0	0	0	0	0	0	0	4.07e+36	0	0	0	8.56e+36	0	0	0	0	0	0	2.33e+36	0	6.82e+36	0	0	0	0	6.17e+36	4.70e+36	8.59e+35	0	0	2.25e+37	0	0	0	0	0	0	1.41e+36	4.17e+34	0	0	
3e+39	1.5	1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50e+35	0	0	0	0	0	0	0	0	0	0	0	0	0	9.45e+35	5.70e+36	1.23e+36	0	1.29e+36	2.18e+37	0	0	0	0	0	0	5.58e+35	9.04e+34	0	0	
1e+40	4.0	10	14.9	0	0	0	0	0	0	0	0	3.65e+36	1.79e+37	3.31e+36	0	0	3.98e+35	0	0	0	0	4.03e+37	0	0	0	7.13e+37	0	2.59e+36	0	0	0	0	4.86e+36	0	2.42e+37	0	0	0	0	1.07e+37	7.68e+36	0	0	0	3.34e+37	0	0	0	0	0	0	0	0	0	0	
1e+41	2.5	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60e+38	0	0	0	0	0	0	0	0	0	0	0	0	1.88e+38	0	0	0	0	0	0	0	0	0	0	0	8.04e+36	0	1.54e+37	5.07e+37	0	0	0	0	0	0	0	0	0	0	
1e+41	1.5	10	14.4	0	0	0	0	1.46e+38	0	0	0	0	0	0	0	0	1.39e+39	0	0	0	0	0	0	0	0	1.43e+35	0	0	0	4.74e+38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3e+40	1.5	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	4.55e+36	1.93e+38	0	0	0	0	0	0	0	0	6.47e+34	0	0	0	1.90e+38	0	0	0	0	0	0	0	0	0	0	0	4.76e+36	0	8.74e+36	2.50e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	2.5	1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01e+36	0	0	0	0	0	0	0	0	0	0	0	0	1.06e+36	3.04e+36	8.30e+36	6.55e+35	0	4.00e+35	2.03e+37	0	0	0	0	0	0	8.88e+35	4.57e+34	5.23e+34	0	
1e+40	2.5	3	14.9	0	0	0	0	0	0	6.30e+36	0	7.78e+36	0	0	0	0	5.78e+36	0	0	0	0	7.46e+36	0	0	0	4.32e+37	0	0	0	4.12e+36	0	0	0	0	1.98e+37	0	0	0	0	6.45e+36	1.54e+37	3.98e+36	0	3.19e+36	4.69e+37	0	0	0	0	0	0	0	0	0	0	
3e+39	4.0	1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12e+36	0	0	0	0	0	0	0	0	0	0	0	0	2.97e+36	5.13e+36	8.44e+36	5.04e+35	0	0	1.83e+37	0	0	0	0	0	0	1.31e+36	2.40e+34	1.47e+35	0	
3e+39	2.5	3	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.35e+36	0	0	0	1.03e+37	0	0	0	0	0	0	0	0	6.08e+36	0	0	0	0	4.23e+36	5.85e+36	9.57e+35	0	0	2.37e+37	0	0	0	0	0	0	9.89e+35	1.16e+35	0	0	
1e+41	4.0	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99e+37	0	0	0	0	0	0	0	0	0	0	0	0	3.58e+38	0	0	0	0	0	0	0	0	0	0	0	1.93e+37	0	2.45e+37	8.14e+37	0	0	0	0	0	0	0	0	0	0	
1e+40	4.0	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84e+36	0	0	0	2.53e+37	0	0	0	0	0	0	0	0	3.56e+36	0	0	0	0	7.56e+36	2.25e+37	2.16e+36	0	1.67e+36	4.32e+37	0	0	0	0	0	0	1.46e+36	2.33e+35	0	0	
1e+40	2.5	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	8.09e+35	0	0	0	0	0	0	0	0	1.19e+36	0	0	0	1.19e+37	0	0	0	0	0	0	0	0	0	0	8.37e+36	6.45e+36	0	8.17e+36	4.92e+37	0	0	1.47e+36	0	0	0	0	0	0	0	
3e+39	4.0	10	15.2	0	0	0	0	0	0	0	0	0	6.54e+36	0	0	0	0	0	0	0	0	7.08e+36	0	0	0	1.11e+37	0	0	0	0	1.28e+36	0	4.15e+36	0	4.64e+36	0	2.57e+36	0	0	3.98e+36	2.30e+36	0	7.26e+35	0	1.71e+37	0	0	0	5.16e+36	0	0	1.24e+36	2.16e+34	0	0	
1e+41	1.5	3	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22e+39	0	0	0	0	0	0	0	0	2.33e+34	0	0	0	2.59e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+41	4.0	10	14.4	0	0	2.67e+37	4.50e+37	2.10e+38	0	7.21e+38	0	2.48e+38	0	0	1.35e+38	0	2.45e+38	0	0	0	0	1.95e+36	0	0	0	1.09e+37	0	0	0	2.55e+38	0	0	0	0	7.77e+37	0	0	0	0	0	0	2.84e+37	0	0	8.56e+37	0	0	0	0	0	0	0	0	0	0	
3e+40	2.5	10	14.7	0	0	0	0	3.12e+37	0	2.01e+38	0	7.77e+37	0	0	1.91e+37	0	5.95e+37	0	0	0	0	9.09e+36	0	0	0	3.12e+37	0	0	0	3.24e+37	0	0	0	0	7.85e+37	0	0	0	0	7.98e+36	1.43e+37	9.33e+36	0	0	5.58e+37	0	0	0	0	0	0	0	0	0	0	
