L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
2e+39	2.5	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22e+37	1.90e+37	0	2.95e+37	6.78e+38	0	1.30e+37	1.22e+37	0	0	0	3.20e+37	7.26e+36	1.14e+36	0	
2e+38	4.0	10	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71e+36	2.52e+36	0	2.12e+36	0	7.02e+37	1.54e+37	0	0	0	2.05e+37	7.14e+36	3.47e+37	1.32e+35	2.98e+37	2.53e+36	
1e+38	6.0	3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31e+37	5.77e+36	0	0	0	1.98e+37	3.07e+36	2.40e+37	5.62e+34	1.40e+37	3.46e+36	
5e+38	2.5	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33e+37	1.60e+37	5.31e+36	0	0	2.52e+38	0	0	0	0	6.18e+36	4.07e+37	3.75e+37	1.66e+36	2.69e+37	0	
5e+39	4.0	1	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63e+38	8.22e+37	0	1.20e+38	1.56e+39	0	4.31e+37	2.97e+37	0	0	0	5.07e+37	1.39e+37	0	0	
1e+38	2.5	10	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14e+36	0	0	0	0	2.79e+37	5.45e+36	0	0	0	9.66e+36	4.11e+36	2.29e+37	9.12e+34	2.06e+37	1.24e+36	
5e+38	1.5	10	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.28e+36	0	0	0	0	0	0	0	0	7.74e+37	0	0	0	0	1.49e+37	2.37e+37	1.42e+37	0	0	2.59e+38	0	0	0	0	0	0	2.67e+37	2.11e+36	2.61e+37	0	
2e+38	1.0	3	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67e+36	6.06e+36	2.04e+36	0	0	9.78e+37	0	0	2.24e+36	0	0	1.41e+37	1.54e+37	1.83e+36	1.27e+37	0	
2e+38	1.5	10	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99e+34	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76e+36	4.93e+36	3.72e+36	0	0	9.00e+37	0	0	0	0	4.20e+36	2.91e+37	2.50e+37	4.73e+35	2.14e+37	0	
5e+38	2.5	1	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24e+36	1.23e+37	0	0	0	1.48e+38	0	0	0	0	2.59e+36	2.70e+37	3.15e+37	1.07e+36	1.83e+37	0	
1e+40	1.0	10	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.80e+39	0	0	0	0	0	0	0	0	1.73e+36	0	0	0	2.56e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	9.30e+37	0	0	0	0	0	0	0	0	0	0	0	
1e+40	1.5	10	14.1	0	0	0	0	5.74e+37	0	0	0	0	0	0	0	0	3.96e+39	0	0	0	0	0	0	0	0	3.25e+36	0	0	0	3.83e+39	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08e+38	4.62e+38	0	0	0	0	0	0	0	0	0	0	
2e+39	1.0	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56e+37	0	5.33e+37	3.37e+38	0	9.24e+37	0	0	0	0	0	1.68e+37	0	0	
5e+38	10.0	10	14.7	0	0	0	0	0	0	0	0	0	1.23e+38	0	0	0	0	0	0	0	0	3.55e+38	0	0	0	4.53e+38	0	0	0	0	9.36e+37	0	0	0	6.60e+38	0	0	0	0	3.02e+38	2.08e+38	9.18e+37	0	0	1.87e+39	0	0	0	1.48e+38	1.57e+38	0	1.56e+38	4.05e+36	0	0	
5e+38	10.0	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.84e+37	0	0	0	0	0	0	0	0	0	0	0	0	3.99e+38	3.29e+38	4.08e+38	9.24e+37	0	0	2.42e+39	0	0	0	0	5.18e+37	0	1.51e+38	6.84e+36	8.52e+37	0	
1e+38	10.0	3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53e+37	2.37e+37	0	1.17e+37	0	4.23e+38	5.64e+37	0	0	0	9.54e+37	4.30e+37	9.90e+37	7.02e+35	3.59e+37	0	
5e+38	1.5	1	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00e+37	0	0	2.87e+36	1.62e+38	0	0	2.84e+36	0	0	1.36e+37	2.02e+37	2.24e+36	1.04e+37	0	
