L[erg/s]	M_ej[M_sun]	T_PWN[1e5K]	log(B)[G]	OIII[0.167]	S3[0.173]	SiII[0.233]	CII[0.233]	OII[0.247]	FeII[0.26]	MgII[0.28]	CaII[0.393]	S2[0.407]	MgI[0.456]	CI[0.462]	FeIII[0.466]	FeIII[0.499]	OIII[0.501]	FeII[0.502]	FeI[0.517]	OI[0.558]	CoIII[0.589]	OI[0.63]	S3[0.631]	S2[0.672]	NiIII[0.712]	CaII[0.729]	FeI[0.771]	FeI[0.835]	CaII[0.854]	S3[0.953]	CI[0.985]	CoII[1.02]	SI[1.08]	NiII[1.19]	FeII[1.26]	FeI[1.44]	SiI[1.65]	CoII[2.48]	FeII[4.12]	NiII[6.64]	ArII[6.99]	NiIII[7.35]	NiI[7.51]	ArIII[8.99]	NeII[12.8]	FeI[14.2]	S3[18.7]	FeIII[22.9]	FeI[24.0]	SI[25.2]	FeII[26.0]	SiII[34.8]	OIII[51.8]	OI[63.2]	SiI[68.5]	
1e+39	1.0	10	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	7.20e+37	0	0	0	0	4.31e+35	0	2.05e+37	0	1.19e+37	0	0	0	1.65e+38	0	0	0	0	3.02e+37	0	0	0	0	0	2.55e+37	4.29e+37	0	6.54e+37	4.16e+38	0	0	2.22e+37	0	0	0	1.03e+37	0	0	0	
2e+39	1.5	3	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.76e+34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39e+37	7.38e+37	0	1.60e+38	8.04e+38	0	1.82e+38	2.43e+37	0	0	0	0	2.99e+37	0	0	
2e+38	1.0	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61e+36	0	0	0	5.60e+37	0	9.84e+35	1.30e+36	0	0	9.24e+36	1.30e+37	1.11e+36	8.82e+36	0	
1e+40	6.0	3	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92e+37	0	0	0	2.81e+38	0	0	0	2.47e+38	0	0	0	0	3.19e+38	0	0	0	0	1.33e+38	7.50e+38	3.68e+38	0	4.25e+38	4.19e+39	0	0	7.32e+37	0	0	0	9.06e+37	9.84e+37	0	0	
2e+39	1.0	10	14.4	0	0	0	0	5.74e+36	0	0	0	1.92e+37	0	0	0	0	3.37e+38	0	0	0	0	0	0	0	0	3.09e+36	0	0	0	8.34e+38	0	0	0	0	0	0	0	0	0	0	0	4.35e+37	0	9.60e+37	3.69e+38	0	0	2.99e+37	0	0	0	0	0	0	0	
1e+40	10.0	3	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75e+38	0	0	0	7.02e+38	0	0	0	0	0	0	0	0	7.32e+38	0	0	0	0	4.86e+38	1.03e+39	1.89e+38	0	0	4.02e+39	0	0	0	0	0	0	1.58e+38	2.65e+37	0	0	
1e+39	1.5	1	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21e+37	7.62e+36	0	1.56e+37	3.22e+38	0	1.33e+37	9.60e+36	0	0	0	1.81e+37	5.39e+36	0	0	
2e+39	4.0	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02e+37	9.66e+37	1.29e+37	0	1.18e+37	6.84e+38	0	0	0	0	0	3.76e+37	5.46e+37	4.04e+36	1.96e+37	0	
1e+40	4.0	10	14.1	0	0	0	0	7.74e+37	0	4.68e+38	0	4.89e+38	0	0	0	0	9.12e+38	0	0	0	0	1.39e+38	0	0	0	1.02e+39	0	0	0	6.60e+38	0	0	0	0	1.03e+39	0	0	0	0	1.55e+38	4.39e+38	2.68e+38	0	2.68e+38	2.78e+39	0	0	1.35e+38	0	0	0	0	0	0	0	
1e+38	1.0	10	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86e+32	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09e+36	1.75e+36	1.47e+36	0	0	3.84e+37	0	0	0	0	2.06e+36	1.57e+37	1.63e+37	3.04e+35	1.42e+37	0	
2e+38	6.0	3	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91e+37	1.27e+37	0	0	0	3.19e+37	7.50e+36	3.97e+37	1.50e+35	1.97e+37	2.61e+36	
5e+38	6.0	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01e+37	8.40e+36	0	0	0	1.98e+38	2.17e+37	0	0	0	4.61e+37	2.94e+37	6.54e+37	5.15e+35	2.91e+37	0	
2e+39	1.5	1	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73e+37	0	5.21e+37	4.53e+38	0	9.00e+37	1.58e+37	0	0	0	0	1.06e+37	0	0	
5e+39	2.5	1	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51e+37	6.54e+37	0	1.65e+38	1.08e+39	0	1.90e+38	2.45e+37	0	0	0	0	1.92e+37	0	0	
1e+40	2.5	10	14.1	0	0	0	0	9.06e+37	0	0	0	1.32e+38	0	0	0	0	1.94e+39	0	0	0	0	0	0	0	0	1.55e+37	0	0	0	4.22e+39	0	0	0	0	0	0	0	0	0	0	0	1.87e+38	0	3.45e+38	1.51e+39	0	0	1.81e+38	0	0	0	0	0	0	0	
1e+39	4.0	10	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37e+37	0	0	0	0	0	0	0	0	1.28e+38	0	0	0	0	4.63e+37	3.79e+37	2.17e+37	0	0	4.98e+38	0	0	0	2.43e+37	2.51e+37	0	6.60e+37	1.17e+36	5.65e+37	0	
5e+39	6.0	3	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.70e+37	0	0	0	0	0	0	0	0	2.65e+38	0	0	0	0	1.92e+38	5.04e+38	1.08e+38	0	4.64e+37	2.45e+39	0	0	0	0	0	0	9.84e+37	1.54e+37	6.84e+37	0	
1e+39	1.0	3	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05e+37	3.40e+37	0	7.86e+37	4.23e+38	0	7.38e+37	1.57e+37	0	0	0	0	1.78e+37	0	0	
5e+39	10.0	1	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01e+38	4.28e+38	3.69e+37	0	0	1.57e+39	0	0	0	0	0	1.35e+38	1.26e+38	4.30e+36	1.74e+37	0	
1e+39	4.0	1	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81e+37	3.75e+37	0	0	0	3.20e+38	0	0	0	0	6.06e+36	4.66e+37	4.92e+37	1.48e+36	2.21e+37	0	
1e+40	4.0	3	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17e+38	0	0	0	0	0	0	0	0	5.06e+36	0	0	0	1.96e+39	0	0	0	0	0	0	0	0	0	0	1.58e+38	3.29e+38	0	6.12e+38	2.97e+39	0	0	9.42e+37	0	0	0	0	0	0	0	
2e+39	6.0	10	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.62e+37	0	0	0	0	2.82e+37	0	0	0	2.67e+38	0	0	0	0	1.11e+38	8.16e+37	4.34e+37	0	0	9.24e+38	0	0	0	5.52e+37	5.60e+37	0	9.72e+37	1.85e+36	1.07e+38	0	
5e+38	1.0	10	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93e+37	0	0	0	0	0	0	0	0	7.08e+37	0	0	0	0	1.04e+37	3.02e+37	1.58e+37	0	8.52e+36	2.52e+38	0	7.92e+36	0	0	0	0	1.79e+37	6.06e+36	1.38e+37	0	
1e+40	4.0	1	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.83e+37	1.81e+38	0	3.84e+38	2.13e+39	0	3.20e+38	4.20e+37	0	0	0	0	2.87e+37	0	0	
5e+38	10.0	1	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02e+38	4.30e+38	3.71e+37	0	0	1.57e+39	0	0	0	0	0	1.30e+38	1.23e+38	4.23e+36	1.73e+37	0	
1e+39	2.5	1	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82e+36	3.20e+37	5.06e+36	0	5.61e+36	3.40e+38	0	0	0	0	0	2.35e+37	3.31e+37	2.88e+36	1.62e+37	0	
1e+40	1.0	3	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52e+39	0	0	0	0	5.00e+31	0	0	0	1.51e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1e+39	10.0	3	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52e+37	2.38e+37	0	1.17e+37	0	4.23e+38	5.64e+37	0	0	0	9.54e+37	4.30e+37	9.78e+37	7.02e+35	3.59e+37	0	
5e+38	1.0	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87e+37	9.84e+36	0	1.33e+37	2.68e+38	0	5.39e+36	6.72e+36	0	0	1.14e+37	1.53e+37	7.02e+36	2.91e+36	0	
1e+40	2.5	3	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08e+39	0	0	0	0	0	0	0	0	1.42e+36	0	0	0	3.08e+39	0	0	0	0	0	0	0	0	0	0	0	1.51e+38	0	4.30e+38	1.30e+39	0	0	0	0	0	0	0	0	0	0	
1e+38	6.0	10	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65e+37	8.40e+36	0	0	0	2.02e+37	2.48e+36	2.00e+37	2.83e+34	2.04e+37	4.59e+36	
5e+39	6.0	10	14.2	0	0	0	0	0	0	0	0	4.87e+37	0	0	0	0	1.65e+37	0	0	0	0	4.41e+38	0	0	0	6.66e+38	0	0	0	0	6.12e+37	0	0	0	7.62e+38	0	0	0	0	2.32e+38	2.57e+38	1.04e+38	0	0	1.84e+39	0	0	0	0	0	0	1.04e+38	0	0	0	
1e+39	6.0	3	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48e+37	3.30e+37	9.66e+36	0	0	4.77e+38	0	0	0	0	3.86e+37	8.52e+37	8.10e+37	1.29e+36	3.83e+37	0	
5e+39	1.5	10	14.2	0	0	0	0	2.47e+37	0	0	0	0	0	0	0	0	1.06e+39	0	0	0	0	0	0	0	0	4.88e+36	0	0	0	2.22e+39	0	0	0	0	0	0	0	0	0	0	0	8.16e+37	0	1.84e+38	6.72e+38	0	0	6.54e+37	0	0	0	0	0	0	0	
1e+40	6.0	10	14.1	0	0	0	0	0	0	0	0	2.25e+38	0	0	0	0	1.40e+38	0	0	0	0	9.60e+38	0	0	0	2.18e+39	0	0	0	1.41e+38	0	0	0	0	1.33e+39	0	0	0	0	3.59e+38	5.84e+38	1.78e+38	0	0	2.84e+39	0	0	0	0	0	0	1.06e+38	0	0	0	
5e+39	1.0	1	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72e+37	0	1.27e+38	2.86e+38	0	2.17e+38	0	0	0	0	0	7.86e+37	0	0	
1e+38	4.0	10	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18e+37	7.14e+36	0	0	0	1.48e+37	3.01e+36	2.16e+37	4.93e+34	2.14e+37	2.86e+36	
2e+39	10.0	10	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77e+37	0	0	0	0	2.26e+37	0	0	0	0	0	5.48e+37	0	1.39e+38	1.20e+38	6.72e+37	3.11e+37	2.22e+37	0	9.00e+38	1.52e+38	0	0	0	1.18e+38	0	1.25e+38	8.82e+35	9.18e+37	0	
2e+39	10.0	3	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50e+35	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35e+38	8.70e+37	2.38e+37	0	0	9.54e+38	3.16e+37	0	0	0	8.34e+37	1.42e+38	1.26e+38	1.75e+36	4.90e+37	0	
1e+40	10.0	1	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40e+36	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93e+38	9.84e+38	1.15e+38	0	9.24e+37	3.02e+39	0	0	0	0	0	5.26e+37	1.33e+38	1.14e+37	0	0	
2e+38	2.5	3	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95e+36	2.23e+36	0	0	0	6.84e+37	1.72e+36	0	0	0	1.15e+37	2.29e+37	3.24e+37	4.34e+35	2.05e+37	0	
5e+39	1.5	3	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48e+38	0	0	0	0	0	0	0	0	6.72e+35	0	0	0	1.50e+39	0	0	0	0	0	0	0	0	0	0	0	6.36e+37	0	2.24e+38	5.28e+38	0	0	0	0	0	0	0	0	0	0	
1e+38	2.5	3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13e+37	2.64e+36	0	0	0	9.18e+36	7.38e+36	2.55e+37	1.66e+35	1.55e+37	0	
1e+38	6.0	1	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68e+36	0	0	0	2.36e+36	1.38e+37	3.72e+36	2.21e+37	2.76e+34	8.76e+36	1.77e+36	
5e+39	4.0	3	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67e+37	0	0	0	0	0	0	0	0	0	0	0	0	9.42e+37	6.24e+37	3.76e+38	1.72e+38	0	1.95e+38	2.45e+39	0	5.04e+37	3.63e+37	0	0	0	6.18e+37	2.81e+37	3.29e+36	0	
1e+38	1.5	3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06e+35	0	0	0	0	2.67e+37	0	0	0	0	4.58e+36	1.41e+37	1.93e+37	3.14e+35	1.45e+37	0	
1e+38	1.0	3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01e+36	1.23e+36	0	0	0	3.57e+37	0	0	1.11e+36	0	1.95e+36	1.15e+37	1.42e+37	6.24e+35	1.24e+37	0	
5e+38	1.5	3	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.94e+36	2.31e+37	7.20e+36	0	0	2.70e+38	0	0	4.35e+36	0	0	2.47e+37	2.38e+37	3.75e+36	1.73e+37	0	
1e+38	10.0	1	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83e+37	2.75e+37	0	0	0	2.25e+38	0	0	0	0	6.66e+37	8.58e+37	8.46e+37	3.97e+35	2.21e+37	0	
5e+39	10.0	3	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75e+37	0	0	0	0	0	0	0	0	0	0	0	0	3.97e+38	3.28e+38	4.10e+38	9.24e+37	0	0	2.43e+39	0	0	0	0	5.18e+37	0	1.49e+38	6.84e+36	8.46e+37	0	
5e+38	4.0	10	14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.28e+35	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87e+37	1.33e+37	7.20e+36	0	0	2.39e+38	2.85e+37	0	0	0	2.53e+37	3.31e+37	5.62e+37	4.59e+35	4.20e+37	0	
5e+39	1.5	1	14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.10e+37	0	1.47e+38	7.44e+38	0	1.57e+38	0	0	0	0	0	3.37e+37	0	0	
1e+39	10.0	1	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84e+37	2.77e+37	0	0	0	2.25e+38	0	0	0	0	6.66e+37	8.58e+37	8.40e+37	3.96e+35	2.20e+37	0	
2e+38	10.0	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e+37	9.00e+36	0	0	0	3.45e+37	7.80e+36	3.35e+37	4.07e+34	1.09e+37	3.01e+36	
2e+39	4.0	10	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22e+38	0	0	0	0	2.43e+37	0	0	0	3.22e+38	0	0	0	0	9.00e+37	9.72e+37	4.95e+37	0	0	9.24e+38	0	0	0	0	2.10e+37	0	7.02e+37	4.25e+36	1.19e+38	0	
1e+39	1.5	3	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.64e+36	4.72e+37	2.32e+37	0	2.88e+37	5.39e+38	0	8.64e+36	1.06e+37	0	0	1.84e+37	2.31e+37	1.02e+37	3.83e+36	0	
2e+39	2.5	10	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83e+37	0	0	0	0	1.06e+38	0	2.19e+37	0	1.96e+38	0	0	0	2.72e+37	0	0	0	0	2.91e+38	0	0	0	0	6.24e+37	1.24e+38	5.15e+37	0	0	8.76e+38	0	0	0	0	0	0	4.49e+37	0	0	0	
2e+38	2.5	1	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21e+36	1.68e+36	0	0	0	3.39e+37	0	0	0	0	5.72e+36	2.22e+37	2.65e+37	2.58e+35	1.44e+37	0	
1e+39	10.0	10	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42e+36	0	0	0	0	0	0	0	0	0	0	2.76e+37	0	0	5.34e+37	2.46e+37	1.17e+37	1.62e+37	0	4.40e+38	9.84e+37	0	0	0	9.24e+37	3.56e+37	8.82e+37	3.52e+35	5.81e+37	0	
1e+40	1.0	1	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09e+39	0	0	0	0	0	0	0	0	9.90e+34	0	0	0	1.33e+37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2e+39	1.0	3	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60e+38	0	0	0	0	0	0	0	0	3.17e+35	0	0	0	5.62e+38	0	0	0	0	0	0	0	0	0	0	0	3.67e+37	0	1.21e+38	3.17e+38	0	0	0	0	0	0	0	0	0	0	
2e+38	1.0	10	14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90e+35	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15e+36	7.20e+36	5.18e+36	0	0	9.96e+37	0	0	0	0	0	3.06e+37	1.75e+37	9.66e+35	1.56e+37	0	
